"","Indice","UF","Mes"
"233",60.2630856256016,"Pará","202108"
"234",53.7545657018976,"Pará","202109"
"235",94.3024037597328,"Ceará","201201"
"236",98.5525526075412,"Ceará","201202"
"237",106.952699029351,"Ceará","201203"
"238",104.31322621518,"Ceará","201204"
"239",106.993754483191,"Ceará","201205"
"240",98.9770172031061,"Ceará","201206"
"241",96.9002821349621,"Ceará","201207"
"242",94.8095409172835,"Ceará","201208"
"243",97.0488004250261,"Ceará","201209"
"244",99.0091906119391,"Ceará","201210"
"245",104.191312777393,"Ceará","201211"
"246",98.0492188674031,"Ceará","201212"
"247",108.202403759733,"Ceará","201301"
"248",102.852552607541,"Ceará","201302"
"249",107.552699029351,"Ceará","201303"
"250",120.91322621518,"Ceará","201304"
"251",113.793754483191,"Ceará","201305"
"252",108.377017203106,"Ceará","201306"
"253",111.100282134962,"Ceará","201307"
"254",108.709540917284,"Ceará","201308"
"255",108.948800425026,"Ceará","201309"
"256",115.209190611939,"Ceará","201310"
"257",111.591312777393,"Ceará","201311"
"258",102.549218867403,"Ceará","201312"
"259",103.802403759733,"Ceará","201401"
"260",110.052552607541,"Ceará","201402"
"261",106.852699029351,"Ceará","201403"
"262",115.41322621518,"Ceará","201404"
"263",113.493754483191,"Ceará","201405"
"264",101.377017203106,"Ceará","201406"
"265",108.700282134962,"Ceará","201407"
"266",106.409540917283,"Ceará","201408"
"267",109.148800425026,"Ceará","201409"
"268",103.909190611939,"Ceará","201410"
"269",103.291312777393,"Ceará","201411"
"270",104.149218867403,"Ceará","201412"
"271",98.5024037597328,"Ceará","201501"
"272",100.352552607541,"Ceará","201502"
"273",103.352699029351,"Ceará","201503"
"274",100.61322621518,"Ceará","201504"
"275",99.2937544831912,"Ceará","201505"
"276",100.777017203106,"Ceará","201506"
"277",93.1002821349621,"Ceará","201507"
"278",93.8095409172835,"Ceará","201508"
"279",94.9488004250261,"Ceará","201509"
"280",93.7091906119391,"Ceará","201510"
"281",90.9913127773929,"Ceará","201511"
"282",89.7492188674031,"Ceará","201512"
"283",89.4024037597328,"Ceará","201601"
"284",90.9525526075413,"Ceará","201602"
"285",97.5526990293505,"Ceará","201603"
"286",98.4132262151802,"Ceará","201604"
"287",96.7937544831912,"Ceará","201605"
"288",97.4770172031061,"Ceará","201606"
"289",92.6002821349621,"Ceará","201607"
"290",91.0095409172835,"Ceará","201608"
"291",88.7488004250261,"Ceará","201609"
"292",85.8091906119391,"Ceará","201610"
"293",86.5913127773929,"Ceará","201611"
"294",94.0492188674031,"Ceará","201612"
"295",90.8024037597328,"Ceará","201701"
"296",89.6525526075413,"Ceará","201702"
"297",96.0526990293505,"Ceará","201703"
"298",92.8132262151802,"Ceará","201704"
"299",102.693754483191,"Ceará","201705"
"300",100.477017203106,"Ceará","201706"
"301",93.9002821349621,"Ceará","201707"
"302",95.2095409172835,"Ceará","201708"
"303",91.7488004250261,"Ceará","201709"
"304",93.6091906119391,"Ceará","201710"
"305",91.0913127773929,"Ceará","201711"
"306",94.7492188674031,"Ceará","201712"
"307",95.0024037597328,"Ceará","201801"
"308",91.2525526075412,"Ceará","201802"
"309",97.4526990293505,"Ceará","201803"
"310",97.5132262151802,"Ceará","201804"
"311",93.8937544831912,"Ceará","201805"
"312",97.6770172031061,"Ceará","201806"
"313",94.6002821349621,"Ceará","201807"
"314",95.2095409172835,"Ceará","201808"
"315",95.4488004250261,"Ceará","201809"
"316",95.2091906119391,"Ceará","201810"
"317",93.7913127773929,"Ceará","201811"
"318",91.0492188674031,"Ceará","201812"
"319",93.5024037597328,"Ceará","201901"
"320",97.6525526075413,"Ceará","201902"
"321",91.5526990293505,"Ceará","201903"
"322",101.91322621518,"Ceará","201904"
"323",102.593754483191,"Ceará","201905"
"324",96.7770172031061,"Ceará","201906"
"325",94.9002821349621,"Ceará","201907"
"326",95.7095409172835,"Ceará","201908"
"327",95.4488004250261,"Ceará","201909"
"328",94.6091906119391,"Ceará","201910"
"329",96.4913127773929,"Ceará","201911"
"330",94.6492188674031,"Ceará","201912"
"331",97.7024037597328,"Ceará","202001"
"332",98.5525526075412,"Ceará","202002"
"333",82.6526990293505,"Ceará","202003"
"334",55.1132262151802,"Ceará","202004"
"335",54.9937544831912,"Ceará","202005"
"336",77.3770172031061,"Ceará","202006"
"337",97.6002821349621,"Ceará","202007"
"338",101.209540917284,"Ceará","202008"
"339",104.148800425026,"Ceará","202009"
"340",101.109190611939,"Ceará","202010"
"341",103.091312777393,"Ceará","202011"
"342",111.049218867403,"Ceará","202012"
"343",107.302403759733,"Ceará","202101"
"344",98.4525526075413,"Ceará","202102"
"345",88.1526990293505,"Ceará","202103"
"346",91.2132262151802,"Ceará","202104"
"347",93.7937544831912,"Ceará","202105"
"348",98.8770172031061,"Ceará","202106"
"349",94.6002821349621,"Ceará","202107"
"350",94.8095409172835,"Ceará","202108"
"351",90.1488004250261,"Ceará","202109"
"352",102.210948071493,"Pernambuco","201201"
"353",108.862331900525,"Pernambuco","201202"
"354",105.193707111723,"Pernambuco","201203"
"355",99.123479557919,"Pernambuco","201204"
"356",101.193258798486,"Pernambuco","201205"
"357",98.4367836904927,"Pernambuco","201206"
"358",92.6103116823823,"Pernambuco","201207"
"359",94.5713688608952,"Pernambuco","201208"
"360",95.3024290005476,"Pernambuco","201209"
"361",102.717911605198,"Pernambuco","201210"
"362",98.3350585549374,"Pernambuco","201211"
"363",101.542408264578,"Pernambuco","201212"
"364",101.610948071493,"Pernambuco","201301"
"365",98.2623319005245,"Pernambuco","201302"
"366",97.3937071117235,"Pernambuco","201303"
"367",102.223479557919,"Pernambuco","201304"
"368",102.493258798486,"Pernambuco","201305"
"369",100.536783690493,"Pernambuco","201306"
"370",97.7103116823823,"Pernambuco","201307"
"371",95.6713688608952,"Pernambuco","201308"
"372",90.0024290005476,"Pernambuco","201309"
"373",100.017911605198,"Pernambuco","201310"
"374",98.6350585549374,"Pernambuco","201311"
"375",107.642408264578,"Pernambuco","201312"
"376",107.110948071493,"Pernambuco","201401"
"377",104.162331900525,"Pernambuco","201402"
"378",108.293707111724,"Pernambuco","201403"
"379",104.823479557919,"Pernambuco","201404"
"380",104.093258798486,"Pernambuco","201405"
"381",94.3367836904927,"Pernambuco","201406"
"382",93.9103116823823,"Pernambuco","201407"
"383",94.5713688608952,"Pernambuco","201408"
"384",97.3024290005476,"Pernambuco","201409"
"385",93.1179116051983,"Pernambuco","201410"
"386",96.1350585549374,"Pernambuco","201411"
"387",98.2424082645783,"Pernambuco","201412"
"388",111.410948071493,"Pernambuco","201501"
"389",107.362331900525,"Pernambuco","201502"
"390",107.593707111724,"Pernambuco","201503"
"391",98.123479557919,"Pernambuco","201504"
"392",93.393258798486,"Pernambuco","201505"
"393",94.9367836904927,"Pernambuco","201506"
"394",92.9103116823823,"Pernambuco","201507"
"395",90.1713688608952,"Pernambuco","201508"
"396",91.5024290005476,"Pernambuco","201509"
"397",88.1179116051983,"Pernambuco","201510"
"398",94.2350585549375,"Pernambuco","201511"
"399",83.5424082645783,"Pernambuco","201512"
"400",76.8109480714927,"Pernambuco","201601"
"401",81.4623319005245,"Pernambuco","201602"
"402",85.3937071117235,"Pernambuco","201603"
"403",91.623479557919,"Pernambuco","201604"
"404",89.193258798486,"Pernambuco","201605"
"405",89.9367836904927,"Pernambuco","201606"
"406",90.4103116823823,"Pernambuco","201607"
"407",89.0713688608952,"Pernambuco","201608"
"408",88.7024290005476,"Pernambuco","201609"
"409",87.9179116051983,"Pernambuco","201610"
"410",87.3350585549374,"Pernambuco","201611"
"411",89.8424082645783,"Pernambuco","201612"
"412",89.8109480714927,"Pernambuco","201701"
"413",80.6623319005245,"Pernambuco","201702"
"414",87.7937071117235,"Pernambuco","201703"
"415",86.323479557919,"Pernambuco","201704"
"416",87.293258798486,"Pernambuco","201705"
"417",88.3367836904927,"Pernambuco","201706"
"418",86.8103116823823,"Pernambuco","201707"
"419",89.6713688608952,"Pernambuco","201708"
"420",86.0024290005476,"Pernambuco","201709"
"421",85.8179116051983,"Pernambuco","201710"
"422",93.9350585549375,"Pernambuco","201711"
"423",94.2424082645783,"Pernambuco","201712"
"424",88.1109480714927,"Pernambuco","201801"
"425",84.4623319005245,"Pernambuco","201802"
"426",88.6937071117235,"Pernambuco","201803"
"427",94.523479557919,"Pernambuco","201804"
"428",84.993258798486,"Pernambuco","201805"
"429",96.0367836904927,"Pernambuco","201806"
"430",96.5103116823823,"Pernambuco","201807"
"431",100.871368860895,"Pernambuco","201808"
"432",100.902429000548,"Pernambuco","201809"
"433",91.3179116051983,"Pernambuco","201810"
"434",88.5350585549375,"Pernambuco","201811"
"435",86.4424082645783,"Pernambuco","201812"
"436",83.7109480714927,"Pernambuco","201901"
"437",86.2623319005245,"Pernambuco","201902"
"438",84.0937071117235,"Pernambuco","201903"
"439",97.323479557919,"Pernambuco","201904"
"440",95.593258798486,"Pernambuco","201905"
"441",91.3367836904927,"Pernambuco","201906"
"442",89.0103116823823,"Pernambuco","201907"
"443",92.0713688608952,"Pernambuco","201908"
"444",92.7024290005476,"Pernambuco","201909"
"445",92.7179116051983,"Pernambuco","201910"
"446",86.9350585549375,"Pernambuco","201911"
"447",86.0424082645783,"Pernambuco","201912"
"448",87.5109480714927,"Pernambuco","202001"
"449",95.9623319005245,"Pernambuco","202002"
"450",85.8937071117235,"Pernambuco","202003"
"451",73.923479557919,"Pernambuco","202004"
"452",84.493258798486,"Pernambuco","202005"
"453",93.5367836904927,"Pernambuco","202006"
"454",103.110311682382,"Pernambuco","202007"
"455",101.271368860895,"Pernambuco","202008"
"456",99.5024290005476,"Pernambuco","202009"
"457",101.117911605198,"Pernambuco","202010"
"458",97.8350585549374,"Pernambuco","202011"
"459",93.7424082645783,"Pernambuco","202012"
"460",95.0109480714927,"Pernambuco","202101"
"461",95.0623319005245,"Pernambuco","202102"
"462",91.3937071117235,"Pernambuco","202103"
"463",92.923479557919,"Pernambuco","202104"
"464",97.393258798486,"Pernambuco","202105"
"465",91.6367836904926,"Pernambuco","202106"
"466",95.0103116823823,"Pernambuco","202107"
"467",88.6713688608952,"Pernambuco","202108"
"468",93.3024290005476,"Pernambuco","202109"
"469",98.7368241521197,"Bahia","201201"
"470",100.800259214607,"Bahia","201202"
"471",98.5036844264413,"Bahia","201203"
