Date,AUSTRALIA,CANADA,DATE,FRANCE,GERMANY,JAPAN,NETHERLANDS,UK,US
1988-10-01,101.357511312595,109.77,726010,102.352480395997,100.686666666667,120.327669397245,96.0966666666667,88.7340727839398,96.2309275601443
1989-01-01,104.187534896124,112.376666666667,726102,101.135823868135,99.4433333333333,116.754306285885,93.91,89.980749839582,97.740889811088
1989-04-01,99.1708264235535,114.946666666667,726192,100.932492229231,98.81,110.45758714656,93.26,87.3673947282894,102.247443813905
1989-07-01,99.2974941457846,117.26,726283,101.395821701486,98.5566666666667,106.647555396295,93.2133333333333,86.1340511170926,101.724123563578
1989-10-01,101.067508895908,117.49,726375,103.039141340489,101.146666666667,103.697530812757,94.6866666666667,83.3973616446804,99.5175120621984
1990-01-01,98.377486479054,114.47,726467,104.902459146174,102.786666666667,98.260818840157,96.1733333333333,84.3940366169718,98.1942118113714
1990-04-01,99.6841640347002,115.823333333333,726557,105.145790451747,102.033333333333,92.4474370619755,95.7633333333333,86.9773914782622,98.3208753114505
1990-07-01,100.640838673656,114.733333333333,726648,105.092457562854,101.546666666667,95.7541312844273,95.13,93.580779839832,94.6876328091798
1990-10-01,94.3974533121108,111.64,726740,105.519120673995,102.846666666667,104.487537396145,95.4966666666667,93.7307810898424,91.414381307134
1991-01-01,94.6107884232368,114.996666666667,726832,103.755802034984,102.036666666667,103.117525979383,95.1766666666667,93.5074458953825,92.2810263076756
1991-04-01,98.027483562363,118.96,726922,100.802493312556,98.4966666666667,103.554196284969,92.4133333333333,91.2340936174468,96.6142513103839
1991-07-01,98.8174901457512,119.04,727013,100.122498979175,99.4766666666667,104.290869090576,92.5866666666667,90.3040858673822,96.1042640600652
1991-10-01,95.7541312844273,116.713333333333,727105,100.915825701453,102.503333333333,107.354227951899,93.6433333333333,90.4040867007226,92.5610193078506
1992-01-01,91.3840948674572,111.673333333333,727197,100.919159007009,102.94,107.490895757465,93.8233333333333,90.2674188951575,92.7243485579528
1992-04-01,91.1940932841107,109.76,727288,101.53582053483,103.276666666667,105.477545646214,93.52,92.0774339786165,92.8110130580069
1992-07-01,84.1873682280686,106.423333333333,727379,103.519137340522,106.84,105.930882757356,95.7866666666667,90.6974224785207,89.3877653058673
1992-10-01,83.3473612280103,103.196666666667,727471,105.809118257348,108.923333333333,111.334261118842,97.3166666666667,79.4573288110735,93.6209928085131
1993-01-01,84.0607005058375,104.296666666667,727563,105.87911767402,110.253333333333,115.700964174701,96.9533333333333,77.1239760331336,95.9209353099506
1993-04-01,82.3640197001641,101.46,727653,105.4357880351,109.346666666667,125.50437920316,96.3,78.8106567554729,93.4809963084256
1993-07-01,79.7573313110943,99.23,727744,102.235814701545,109.19,133.654447120392,96.47,79.9406661722181,94.5143038090715
1993-10-01,80.0473337277811,98.07,727836,102.909142423813,109.91,129.264410536754,97.1533333333333,79.8539987833231,95.7009408098131
1994-01-01,85.4307119225993,96.11,727928,103.069141090491,108.36,131.701097509146,95.8033333333333,80.1140009500079,96.7909135604943
1994-04-01,85.8873823948533,91.4566666666667,728018,103.049141257157,109.596666666667,134.291119092659,96.5566666666667,78.9773248110401,95.6776080597985
1994-07-01,84.930707755898,90.47,728109,104.672461062824,111.863333333333,135.524462703856,98.4233333333333,77.9806498387486,92.8743448080465
1994-10-01,86.1740514504287,90.1833333333333,728201,104.669127757269,112.023333333333,134.261118842657,98.7533333333333,79.2639938666155,92.0743648075465
1995-01-01,85.0007083392361,87.9,728293,105.509120757327,114.713333333333,136.274468953908,100.81,78.1439845332044,93.3110005583194
